,name,old_label,new_label,old_predict,new_predict
0,abrt,库,工具,工具,服务
1,abrt-gui,工具,服务,服务,服务
2,accel-config,工具,库,库,库
3,accountsservice-libs,库,服务,服务,服务
4,ant-contrib,库,工具,库,库
5,ant-contrib-javadoc,库,工具,库,库
6,antlr-tool,工具,库,工具,工具
7,libattr,库,工具,库,库
8,avahi-ui,库,工具,库,库
9,bind9.16-dnssec-utils,工具,库,服务,库
10,brltty,库,工具,服务,服务
11,brltty-docs,库,工具,服务,服务
12,brltty-dracut,库,工具,服务,服务
13,brltty-espeak-ng,库,工具,服务,服务
14,brltty-xw,库,工具,服务,工具
15,byaccj,库,工具,库,库
16,icedax,工具,库,工具,工具
17,wodim,工具,库,工具,库
18,clufter-common,库,工具,库,服务
19,clutter,库,工具,库,库
20,compat-exiv2-026,工具,库,库,库
21,compat-guile18,库,工具,库,工具
22,spausedd,库,服务,服务,工具
23,crit,工具,库,工具,库
24,cronie-anacron,工具,服务,工具,工具
25,cronie-noanacron,工具,服务,工具,服务
26,libcurl-minimal,库,工具,库,库
27,docbook-dtds,工具,库,工具,工具
28,docbook-style-dsssl,工具,库,工具,服务
29,docbook-style-xsl,工具,库,工具,工具
30,docker-engine,工具,服务,服务,工具
31,dotnet5.0-build-reference-packages,库,工具,其它,服务
32,dyninst-testsuite,库,工具,库,工具
33,flatpak-spawn,服务,工具,库,库
34,freeradius-utils,库,工具,服务,服务
35,libasan6,库,工具,库,库
36,libgs,库,工具,库,工具
37,gimp,库,工具,工具,库
38,gimp-devel-tools,库,工具,库,工具
39,perl-Git,库,工具,库,工具
40,perl-Git-SVN,库,工具,库,工具
41,google-gson,库,其它,库,库
42,grub2-efi-aa64-modules,工具,库,工具,工具
43,grub2-efi-ia32-modules,工具,库,其它,工具
44,grub2-efi-x64-modules,工具,库,工具,工具
45,grub2-pc-modules,工具,库,工具,工具
46,qt-settings,库,工具,服务,服务
47,kernel-tools,其它,工具,库,工具
48,python3-keycloak-httpd-client-install,库,工具,库,服务
49,lorax-templates-anolis,工具,服务,工具,服务
50,lorax-templates-rhel,工具,服务,工具,工具
51,libmcpp,工具,库,库,库
52,mcpp,工具,库,库,库
53,mpv-libs,库,工具,库,服务
54,mtr-gtk,库,工具,工具,服务
55,munge-libs,库,工具,库,库
56,munge-maven-plugin,工具,库,工具,工具
57,munge-maven-plugin-javadoc,工具,库,库,工具
58,mysql-libs,库,服务,工具,库
59,mysql-selinux,服务,库,服务,工具
60,daxctl-libs,库,工具,库,库
61,ndctl-libs,库,工具,库,库
62,netpbm-progs,工具,库,库,库
63,NetworkManager-cloud-setup,工具,服务,服务,工具
64,NetworkManager-libnm,库,服务,库,工具
65,NetworkManager-tui,其它,服务,服务,工具
66,libnfsidmap,工具,库,库,服务
67,nfs-utils,工具,库,服务,服务
68,nghttp2,服务,库,服务,库
69,oceanbase-ce-libs,库,服务,库,服务
70,opa-address-resolution,工具,库,库,工具
71,opa-basic-tools,工具,库,工具,工具
72,opa-fastfabric,工具,库,服务,工具
73,opa-libopamgt,工具,库,库,工具
74,openscap-utils,工具,库,工具,库
75,opensm-libs,库,工具,库,工具
76,openssh-clients,工具,服务,服务,服务
77,openssl-libs,库,工具,库,库
78,libwsman1,库,服务,库,库
79,openwsman-client,库,服务,库,库
80,openwsman-python3,库,服务,库,库
81,ostree-libs,库,工具,库,库
82,p11-kit,工具,服务,库,库
83,p11-kit-trust,工具,服务,服务,服务
84,pacemaker-cluster-libs,库,服务,库,工具
85,pacemaker-cts,库,服务,工具,服务
86,pacemaker-libs,库,服务,库,服务
87,PackageKit-glib,库,服务,库,库
88,PackageKit-gtk3-module,库,服务,库,服务
89,pcp-testsuite,库,服务,服务,服务
90,perl-PCP-LogImport,库,服务,服务,库
91,perl-PCP-LogSummary,库,服务,库,库
92,perl-PCP-MMV,库,服务,库,库
93,perl-PCP-PMDA,库,服务,库,服务
94,python3-pcp,库,服务,服务,服务
95,pcre2-tools,工具,库,工具,库
96,libpurple,库,工具,工具,服务
97,pipewire0.2-libs,库,服务,库,库
98,pipewire-libs,库,服务,库,库
99,pipewire-utils,工具,服务,服务,服务
100,libpkgconf,库,工具,库,库
101,plymouth-core-libs,库,服务,库,库
102,plymouth-graphics-libs,库,服务,工具,工具
103,daxio,工具,库,库,工具
104,pmdk-convert,工具,库,库,库
105,python3-policycoreutils,库,工具,服务,工具
106,postgresql-plperl,库,服务,库,服务
107,postgresql-plpython3,库,服务,服务,服务
108,postgresql-static,库,服务,库,服务
109,pulseaudio-libs,库,服务,库,库
110,pulseaudio-utils,工具,服务,库,服务
111,python3-kickstart,库,工具,库,库
112,python2-libs,库,工具,库,库
113,python2-tkinter,库,工具,工具,库
114,python2-pip-wheel,库,工具,库,库
115,python2-setuptools-wheel,库,工具,库,库
116,python36-rpm-macros,库,工具,库,库
117,python38,库,工具,库,库
118,python38-idle,库,工具,工具,库
119,python38-libs,库,工具,库,库
120,python38-rpm-macros,库,工具,库,库
121,python38-tkinter,库,工具,库,库
122,python39,库,工具,库,库
123,python39-idle,库,工具,工具,库
124,python39-libs,库,工具,工具,库
125,python39-rpm-macros,库,工具,库,库
126,python39-tkinter,库,工具,工具,库
127,python38-pip,库,工具,工具,服务
128,python38-pip-wheel,库,工具,工具,服务
129,python39-pip,库,工具,工具,服务
130,python39-pip-wheel,库,工具,工具,服务
131,python38-setuptools-wheel,库,工具,库,库
132,python39-setuptools-wheel,库,工具,库,库
133,python3-setuptools,工具,库,工具,库
134,qt5-qt3d-examples,工具,库,工具,服务
135,qt5-qtbase-examples,工具,库,库,服务
136,quota-nld,服务,工具,服务,服务
137,quota-rpc,服务,工具,服务,服务
138,infiniband-diags,工具,库,服务,库
139,iwpmd,服务,库,服务,服务
140,redhat-menus,工具,其它,服务,服务
141,redhat-support-tool,库,工具,工具,库
142,python3-rpm,库,工具,工具,库
143,rpm-libs,库,工具,工具,库
144,rpm-plugin-fapolicyd,库,工具,工具,库
145,rpm-plugin-ima,库,工具,服务,库
146,rpm-plugin-prioreset,库,工具,库,库
147,rpm-plugin-selinux,库,工具,服务,库
148,rpm-plugin-syslog,库,工具,库,库
149,rpm-plugin-systemd-inhibit,库,工具,库,库
150,rpm-sign,库,工具,服务,库
151,rpm-ostree-libs,库,工具,库,库
152,python3-rrdtool,库,工具,库,库
153,rrdtool-lua,库,工具,服务,服务
154,rrdtool-perl,库,工具,服务,库
155,rrdtool-ruby,库,工具,服务,服务
156,rrdtool-tcl,库,工具,工具,库
157,rsync,工具,服务,库,库
158,ruby,工具,库,库,库
159,cargo,工具,库,库,库
160,clippy,工具,库,库,库
161,rust-analysis,工具,库,库,库
162,rust-debugger-common,工具,库,服务,服务
163,rustfmt,工具,库,库,库
164,rust-gdb,工具,库,工具,服务
165,rust-lldb,工具,库,工具,服务
166,rust-toolset,工具,库,工具,服务
167,ctdb,库,服务,服务,工具
168,libsmbclient,库,服务,服务,服务
169,libwbclient,库,服务,库,库
170,python3-samba,库,服务,服务,服务
171,samba-client,工具,服务,工具,库
172,samba-client-libs,库,服务,库,工具
173,samba-common-libs,库,服务,服务,库
174,samba-common-tools,工具,服务,库,服务
175,samba-libs,库,服务,库,服务
176,samba-pidl,工具,服务,服务,库
177,samba-test-libs,库,服务,库,库
178,samba-winbind-clients,工具,服务,服务,服务
179,python3-sanlock,库,服务,库,库
180,sanlock-lib,库,服务,库,工具
181,scrub,库,工具,库,库
182,setroubleshoot-server,服务,工具,服务,工具
183,python3-wx-siplib,库,工具,库,工具
184,sip,库,工具,库,工具
185,sos-audit,服务,工具,工具,工具
186,spice-gtk-tools,工具,库,服务,库
187,spirv-tools-libs,库,工具,库,库
188,srt-libs,库,工具,库,工具
189,libipa_hbac,库,服务,库,库
190,libsss_autofs,库,服务,库,库
191,libsss_certmap,库,服务,库,库
192,libsss_idmap,库,服务,库,工具
193,libsss_nss_idmap,库,服务,库,库
194,libsss_simpleifp,库,服务,服务,服务
195,libsss_sudo,库,服务,库,库
196,python3-libipa_hbac,库,服务,库,库
197,python3-sss,库,服务,库,服务
198,python3-sssdconfig,库,服务,库,服务
199,python3-sss-murmur,库,服务,库,库
200,subversion,库,工具,工具,库
201,subversion-gnome,库,工具,服务,库
202,subversion-javahl,库,工具,工具,库
203,subversion-libs,库,工具,库,库
204,subversion-perl,库,工具,工具,库
205,libsysfs,库,工具,库,库
206,systemd-container,工具,其它,服务,库
207,systemd-journal-remote,工具,其它,服务,工具
208,systemd-libs,库,其它,服务,工具
209,telnet,工具,服务,工具,库
210,tog-pegasus-libs,库,服务,服务,服务
211,tuned-utils,工具,服务,服务,服务
212,tuned-utils-systemtap,工具,服务,工具,服务
213,libudisks2,库,工具,库,库
214,usbguard-tools,工具,库,库,库
215,libblkid,库,工具,库,工具
216,libfdisk,库,工具,库,工具
217,libmount,库,工具,库,工具
218,libsmartcols,库,工具,库,库
219,libuuid,库,工具,库,库
220,python3-libmount,库,工具,库,工具
221,uuidd,其它,工具,服务,服务
222,vm-dump-metrics,工具,服务,库,库
223,vulkan-loader,库,服务,库,库
224,vulkan-tools,库,工具,库,库
225,vulkan-validation-layers,库,工具,库,库
226,xdp-tools,工具,服务,库,服务
227,xmvn-tools-pom,工具,库,工具,库
228,xorg-x11-server-utils,服务,工具,工具,服务
229,xz-libs,库,工具,库,库
230,xz-lzma-compat,库,工具,工具,工具
231,yelp-libs,库,工具,库,库
